# SNAPLOG logfile.
# simt, id, type, lat, lon, alt, hdg, trk, tas, gs, gsnorth, gseast, cas, M, vs, p, rho, Temp, dtemp, aspd, aptas, ama, apalt, avs
0.0,MS842,B737,-1.46668792,-0.49807934,9144.00000000,45.00000000,45.00000000,192.89687037,192.89687037,136.39868511,136.39868511,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
0.0,MS841,B737,-1.68124303,0.02009622,9144.00000000,0.00000000,0.00000000,192.89687037,192.89687037,192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
0.0,MS843,B737,-0.94872515,-0.71272382,9144.00000000,90.00000000,90.00000000,192.89687037,192.89687037,0.00000000,192.89687037,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
0.0,MS844,B737,-0.43071397,-0.49823022,9144.00000000,135.00000000,135.00000000,192.89687037,192.89687037,-136.39868511,136.39868511,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
0.0,MS845,B737,-0.21608173,0.01972491,9144.00000000,180.00000000,180.00000000,192.89687037,192.89687037,-192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
0.0,MS846,B737,-0.43056026,0.53774363,9144.00000000,225.00000000,225.00000000,192.89687037,192.89687037,-136.39868511,-136.39868511,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
0.0,MS847,B737,-0.94850869,0.75238767,9144.00000000,270.00000000,270.00000000,192.89687037,192.89687037,-0.00000000,-192.89687037,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
0.0,MS848,B737,-1.46650657,0.53782985,9144.00000000,315.00000000,315.00000000,192.89687037,192.89687037,136.39868511,-136.39868511,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
5.1,MS842,B737,-1.46010804,-0.49216522,9144.00000000,41.32872080,41.32872080,192.89687037,192.89687037,144.85266383,127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
5.1,MS841,B737,-1.67239574,0.02009622,9144.00000000,0.00000000,0.00000000,192.89687037,192.89687037,192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
